id,filename,yes,homeowner,rep_share,iBlackShare,iLatinoShare,iBAshare,logpop,logincome_revised,iLogTaxPerCap,IDcity,year
29,1996-Alameda-Alameda-C-Impartial.txt,43,0.4684,-0.131,0.062,0.0922,0.378,4.8876,4.7266,2.5634,3,1996
30,1998-Alameda-AlamedaCity-B-Impartial.txt,50.2,0.4722,-0.1744,0.0611,0.0926,0.3999,4.8527,4.7684,2.6702,3,1998
31,2008-Alameda-Alameda-P-Impartial.txt,50.8,0.4899,-0.2515,0.061,0.1063,0.4488,4.8609,4.9945,2.9007,3,2008
33,1996-Alameda-Albany-R-Impartial.txt,61.5,0.4756,-0.2731,0.0467,0.0803,0.6056,4.2098,4.6906,2.5386,4,1996
34,1997-Alameda-Albany-D-Impartial.txt,92.8,0.4798,-0.2937,0.0448,0.0802,0.6141,4.2124,4.7086,2.4929,4,1997
36,2000-Alameda-Albany-N-Impartial.txt,78.1,0.5063,-0.3554,0.0392,0.0798,0.6395,4.216,4.808,2.5995,4,2000
38,2002-Alameda-Albany-G-Impartial.txt,67.1,0.5064,-0.3777,0.038,0.0842,0.6493,4.2285,4.8192,2.6906,4,2002
39,2002-Alameda-Albany-H-Impartial.txt,58.2,0.5064,-0.3777,0.038,0.0842,0.6493,4.2285,4.8192,2.6906,4,2002
40,2004-Alameda-Albany-G-Impartial.txt,81,0.5068,-0.4001,0.0369,0.0887,0.6591,4.2364,4.8874,2.6624,4,2004
41,2006-Alameda-Albany-F-Impartial.txt,71.1,0.5073,-0.3808,0.0358,0.0931,0.6688,4.2308,4.9574,2.7739,4,2006
42,2006-Alameda-Albany-G-Impartial.txt,72.3,0.5073,-0.3808,0.0358,0.0931,0.6688,4.2308,4.9574,2.7739,4,2006
43,2008-Alameda-Albany-DD-Impartial.txt,44.9,0.5074,-0.3615,0.0346,0.0976,0.6786,4.238,4.9718,2.7943,4,2008
44,2008-Alameda-Albany-EE-Impartial.txt,64,0.5074,-0.3615,0.0346,0.0976,0.6786,4.238,4.9718,2.7943,4,2008
47,2010-Alameda-Albany-P-Impartial.txt,72,0.5072,-0.3746,0.0335,0.102,0.6883,4.2681,4.9437,2.7749,4,2010
48,2010-Alameda-Albany-Q-Impartial.txt,84.3,0.5072,-0.3746,0.0335,0.102,0.6883,4.2681,4.9437,2.7749,4,2010
51,1998-Alameda-Berkeley-E-Impartial.txt,69.8,0.4315,-0.3618,0.1431,0.0946,0.6313,5.0081,4.776,2.7958,38,1998
52,1998-Alameda-Berkeley-F-Impartial.txt,82.4,0.4315,-0.3618,0.1431,0.0946,0.6313,5.0081,4.776,2.7958,38,1998
53,1998-Alameda-Berkeley-G-Impartial.txt,61.1,0.4315,-0.3618,0.1431,0.0946,0.6313,5.0081,4.776,2.7958,38,1998
54,2000-Alameda-Berkeley-S-Impartial.txt,73.6,0.4274,-0.4015,0.1334,0.0973,0.6425,5.0118,4.8478,2.8465,38,2000
55,2000-Alameda-Berkeley-T-Impartial.txt,62.9,0.4274,-0.4015,0.1334,0.0973,0.6425,5.0118,4.8478,2.8465,38,2000
56,2000-Alameda-Berkeley-U-Impartial.txt,77.7,0.4274,-0.4015,0.1334,0.0973,0.6425,5.0118,4.8478,2.8465,38,2000
60,2002-Alameda-Berkeley-L-Impartial.txt,53.9,0.4278,-0.4206,0.1261,0.0996,0.6503,5.0203,4.8598,2.8713,38,2002
61,2002-Alameda-Berkeley-M-Impartial.txt,50.8,0.4278,-0.4206,0.1261,0.0996,0.6503,5.0203,4.8598,2.8713,38,2002
62,2004-Alameda-Berkeley-J-Impartial.txt,37.4,0.4307,-0.4398,0.1188,0.1018,0.6581,5.0237,4.9326,2.9121,38,2004
63,2004-Alameda-Berkeley-K-Impartial.txt,54.3,0.4307,-0.4398,0.1188,0.1018,0.6581,5.0237,4.9326,2.9121,38,2004
64,2004-Alameda-Berkeley-L-Impartial.txt,51,0.4307,-0.4398,0.1188,0.1018,0.6581,5.0237,4.9326,2.9121,38,2004
65,2004-Alameda-Berkeley-M-Impartial.txt,45.4,0.4307,-0.4398,0.1188,0.1018,0.6581,5.0237,4.9326,2.9121,38,2004
66,2008-Alameda-Berkeley-GG-Impartial.txt,71.7,0.4349,-0.4079,0.1041,0.1062,0.6738,5.0405,5.0217,3.0048,38,2008
67,2010-Alameda-Berkeley-S-Impartial.txt,83,0.4334,-0.4169,0.0968,0.1084,0.6816,5.0515,4.9922,2.9844,38,2010
71,1997-Alameda-Dublin-E-Impartial.txt,84.4,0.6501,-0.0285,0.1036,0.1262,0.3026,4.3789,4.8329,2.709,119,1997
72,1997-Alameda-Emeryville-B-Impartial.txt,63.8,0.3737,-0.2832,0.2005,0.0923,0.5235,3.7921,4.6892,3.2979,130,1997
73,2001-Alameda-Emeryville-D-Impartial.txt,66.1,0.3713,-0.3616,0.1877,0.0898,0.5494,3.8565,4.7557,3.4051,130,2001
75,2009-Alameda-Emeryville-K-Impartial.txt,83.3,0.3625,-0.3739,0.1737,0.0917,0.6625,3.9869,4.922,3.3567,130,2009
77,1997-Alameda-Fremont-F-Impartial.txt,86.5,0.6455,-0.0959,0.0318,0.1343,0.3919,5.2739,4.8284,2.4946,151,1997
78,1998-Alameda-Fremont-N-Impartial.txt,73.7,0.6454,-0.1076,0.0312,0.1344,0.4051,5.2868,4.8515,2.5235,151,1998
79,1998-Alameda-Fremont-O-Impartial.txt,30.5,0.6454,-0.1076,0.0312,0.1344,0.4051,5.2868,4.8515,2.5235,151,1998
80,2004-Alameda-Fremont-V-Impartial.txt,44.7,0.6467,-0.1831,0.0305,0.1401,0.4592,5.3153,4.9813,2.582,151,2004
81,2006-Alameda-Fremont-L-Impartial.txt,42.7,0.6482,-0.1844,0.0309,0.1427,0.473,5.3148,5.0415,2.7041,151,2006
82,2008-Alameda-Fremont-MM-Impartial.txt,66.4,0.6485,-0.1856,0.0312,0.1454,0.4868,5.3207,5.054,2.7444,151,2008
83,1997-Alameda-Hayward-A-Impartial.txt,50,0.5226,-0.1949,0.1023,0.311,0.1901,5.1148,4.669,2.5519,173,1997
84,1998-Alameda-Hayward-F-Impartial.txt,62,0.5248,-0.2076,0.1035,0.3212,0.1929,5.1256,4.6872,2.5532,173,1998
85,2009-Alameda-Hayward-A-Impartial.txt,54,0.5529,-0.2654,0.1123,0.4008,0.2275,5.1542,4.8176,2.7755,173,2009
86,1997-Alameda-Livermore-G-Impartial.txt,79.9,0.6938,0.0225,0.0149,0.1301,0.3029,4.8241,4.821,2.5467,230,1997
89,1997-Alameda-Newark-I-Impartial.txt,86,0.7148,-0.1331,0.0393,0.2689,0.2327,4.6003,4.7823,2.5384,285,1997
90,2001-Alameda-Newark-F-Impartial.txt,62.1,0.7063,-0.1795,0.0392,0.2926,0.246,4.6323,4.8527,2.7159,285,2001
92,2010-Alameda-Newark-U-Impartial.txt,58.7,0.7205,-0.2191,0.0448,0.3522,0.2828,4.6291,4.9222,2.7602,285,2010
96,1996-Alameda-Oakland-I-Impartial.txt,62.7,0.4159,-0.3097,0.3818,0.1869,0.2941,5.5798,4.5598,2.6311,292,1996
97,1997-Alameda-Oakland-M-Impartial.txt,70.2,0.4157,-0.3283,0.3741,0.1949,0.2978,5.585,4.5727,2.6544,292,1997
